datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-03-06 08:00:00,long,same direction,91573.8,0.0,4218.19,0.0,147.86
2025-03-06 12:00:00,long,same direction,91573.8,0.0,4218.19,0.0,147.86
2025-03-06 16:00:00,long,same direction,91573.8,0.0,4218.19,0.0,147.86
2025-03-06 17:01:00,long,sell - stop_loss,91573.8,88601.1,4079.14,-3.3,144.56
2025-03-06 20:00:00,long,buy,88495.2,0.0,4077.1,-0.05,144.51
2025-03-07 00:00:00,short,sell - direction change,88495.2,89899.6,4139.77,1.54,146.05
2025-03-07 00:00:00,short,buy,89899.6,0.0,4137.7,-0.05,146.0
2025-03-07 00:46:00,short,sell - take_profit,89899.6,85100.0,4356.54,5.29,151.29
2025-03-07 04:00:00,long,buy,86952.3,0.0,4354.36,-0.05,151.24
2025-03-07 08:00:00,long,same direction,86952.3,0.0,4354.36,0.0,151.24
2025-03-07 12:00:00,long,same direction,86952.3,0.0,4354.36,0.0,151.24
2025-03-07 16:00:00,long,same direction,86952.3,0.0,4354.36,0.0,151.24
2025-03-07 20:00:00,short,sell - direction change,86952.3,87792.8,4394.27,0.92,152.15
2025-03-07 20:00:00,short,buy,87792.8,0.0,4392.07,-0.05,152.1
2025-03-08 00:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-08 04:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-08 08:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-08 12:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-08 16:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-08 20:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-09 00:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-09 04:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-09 08:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-09 12:00:00,short,same direction,87792.8,0.0,4392.07,0.0,152.1
2025-03-09 14:00:00,short,sell - take_profit,87792.8,83400.0,4609.64,4.95,157.06
2025-03-09 16:00:00,short,buy,83037.3,0.0,4607.33,-0.05,157.01
2025-03-09 20:00:00,short,same direction,83037.3,0.0,4607.33,0.0,157.01
2025-03-10 00:00:00,short,same direction,83037.3,0.0,4607.33,0.0,157.01
2025-03-10 04:00:00,short,same direction,83037.3,0.0,4607.33,0.0,157.01
2025-03-10 08:00:00,long,sell - direction change,83037.3,82272.0,4647.49,0.87,157.88
2025-03-10 08:00:00,long,buy,82272.0,0.0,4645.17,-0.05,157.83
2025-03-10 12:00:00,short,sell - direction change,82272.0,83541.9,4714.55,1.49,159.32
2025-03-10 12:00:00,short,buy,83541.9,0.0,4712.19,-0.05,159.27
2025-03-10 14:18:00,short,sell - take_profit,83541.9,79251.1,4951.86,5.09,164.36
2025-03-10 16:00:00,short,buy,80011.0,0.0,4949.38,-0.05,164.31
2025-03-10 20:00:00,short,same direction,80011.0,0.0,4949.38,0.0,164.31
2025-03-11 00:00:00,short,same direction,80011.0,0.0,4949.38,0.0,164.31
2025-03-11 04:00:00,short,same direction,80011.0,0.0,4949.38,0.0,164.31
2025-03-11 08:00:00,long,sell - direction change,80011.0,80391.6,4923.36,-0.53,163.78
2025-03-11 08:00:00,long,buy,80391.6,0.0,4920.9,-0.05,163.73
2025-03-11 12:00:00,long,same direction,80391.6,0.0,4920.9,0.0,163.73
2025-03-11 16:00:00,long,same direction,80391.6,0.0,4920.9,0.0,163.73
2025-03-11 20:00:00,long,same direction,80391.6,0.0,4920.9,0.0,163.73
2025-03-12 00:00:00,long,same direction,80391.6,0.0,4920.9,0.0,163.73
2025-03-12 04:00:00,long,same direction,80391.6,0.0,4920.9,0.0,163.73
2025-03-12 08:00:00,long,same direction,80391.6,0.0,4920.9,0.0,163.73
2025-03-12 12:00:00,long,same direction,80391.6,0.0,4920.9,0.0,163.73
2025-03-12 12:30:00,long,sell - take_profit,80391.6,84489.8,5169.3,5.05,168.78
2025-03-12 16:00:00,long,buy,81646.6,0.0,5166.71,-0.05,168.73
2025-03-12 20:00:00,long,same direction,81646.6,0.0,5166.71,0.0,168.73
2025-03-13 00:00:00,long,same direction,81646.6,0.0,5166.71,0.0,168.73
2025-03-13 04:00:00,long,same direction,81646.6,0.0,5166.71,0.0,168.73
2025-03-13 08:00:00,long,same direction,81646.6,0.0,5166.71,0.0,168.73
2025-03-13 12:00:00,short,sell - direction change,81646.6,82924.3,5244.98,1.51,170.25
2025-03-13 12:00:00,short,buy,82924.3,0.0,5242.36,-0.05,170.2
2025-03-13 16:00:00,short,same direction,82924.3,0.0,5242.36,0.0,170.2
2025-03-13 20:00:00,short,same direction,82924.3,0.0,5242.36,0.0,170.2
2025-03-14 00:00:00,long,sell - direction change,82924.3,81072.3,5356.82,2.18,172.38
2025-03-14 00:00:00,long,buy,81072.3,0.0,5354.14,-0.05,172.33
2025-03-14 04:00:00,long,same direction,81072.3,0.0,5354.14,0.0,172.33
2025-03-14 08:00:00,long,same direction,81072.3,0.0,5354.14,0.0,172.33
